date,scheme_code,nav,scheme_name
2019-01-01,118632,112.0412,Nippon India Large Cap Fund - Direct - Growth
2019-01-02,118632,123.7188,Nippon India Large Cap Fund - Direct - Growth
2019-01-03,118632,127.185,Nippon India Large Cap Fund - Direct - Growth
2019-01-04,118632,127.9349,Nippon India Large Cap Fund - Direct - Growth
2019-01-05,118632,122.5113,Nippon India Large Cap Fund - Direct - Growth
2019-01-07,118632,154.9922,Nippon India Large Cap Fund - Direct - Growth
2019-01-08,118632,160.1356,Nippon India Large Cap Fund - Direct - Growth
2019-01-10,118632,144.6866,Nippon India Large Cap Fund - Direct - Growth
2019-01-11,118632,149.7058,Nippon India Large Cap Fund - Direct - Growth
2019-02-01,118632,113.8001,Nippon India Large Cap Fund - Direct - Growth
2019-02-04,118632,127.1588,Nippon India Large Cap Fund - Direct - Growth
2019-02-05,118632,124.6646,Nippon India Large Cap Fund - Direct - Growth
2019-02-07,118632,157.9448,Nippon India Large Cap Fund - Direct - Growth
2019-02-08,118632,158.6541,Nippon India Large Cap Fund - Direct - Growth
2019-02-09,118632,153.3779,Nippon India Large Cap Fund - Direct - Growth
2019-02-10,118632,144.5787,Nippon India Large Cap Fund - Direct - Growth
2019-02-12,118632,152.5172,Nippon India Large Cap Fund - Direct - Growth
2019-03-01,118632,114.7353,Nippon India Large Cap Fund - Direct - Growth
2019-03-04,118632,125.6707,Nippon India Large Cap Fund - Direct - Growth
2019-03-05,118632,126.3328,Nippon India Large Cap Fund - Direct - Growth
2019-03-06,118632,139.0083,Nippon India Large Cap Fund - Direct - Growth
2019-03-07,118632,159.6266,Nippon India Large Cap Fund - Direct - Growth
2019-03-09,118632,151.5213,Nippon India Large Cap Fund - Direct - Growth
2019-03-10,118632,141.5548,Nippon India Large Cap Fund - Direct - Growth
2019-03-12,118632,151.4657,Nippon India Large Cap Fund - Direct - Growth
2019-04-01,118632,113.2148,Nippon India Large Cap Fund - Direct - Growth
2019-04-02,118632,124.0612,Nippon India Large Cap Fund - Direct - Growth
2019-04-03,118632,128.0155,Nippon India Large Cap Fund - Direct - Growth
2019-04-04,118632,122.7612,Nippon India Large Cap Fund - Direct - Growth
2019-04-06,118632,138.0758,Nippon India Large Cap Fund - Direct - Growth
2019-04-07,118632,160.4851,Nippon India Large Cap Fund - Direct - Growth
2019-04-09,118632,150.696,Nippon India Large Cap Fund - Direct - Growth
2019-04-10,118632,141.4745,Nippon India Large Cap Fund - Direct - Growth
2019-04-11,118632,149.6543,Nippon India Large Cap Fund - Direct - Growth
2019-04-12,118632,150.5464,Nippon India Large Cap Fund - Direct - Growth
2019-05-02,118632,124.5743,Nippon India Large Cap Fund - Direct - Growth
2019-05-03,118632,129.6499,Nippon India Large Cap Fund - Direct - Growth
2019-05-04,118632,123.3254,Nippon India Large Cap Fund - Direct - Growth
2019-05-06,118632,138.3357,Nippon India Large Cap Fund - Direct - Growth
2019-05-07,118632,161.4415,Nippon India Large Cap Fund - Direct - Growth
2019-05-08,118632,160.4222,Nippon India Large Cap Fund - Direct - Growth
2019-05-09,118632,150.1199,Nippon India Large Cap Fund - Direct - Growth
2019-05-11,118632,151.4228,Nippon India Large Cap Fund - Direct - Growth
2019-05-12,118632,149.6161,Nippon India Large Cap Fund - Direct - Growth
2019-06-02,118632,127.1654,Nippon India Large Cap Fund - Direct - Growth
2019-06-03,118632,128.6783,Nippon India Large Cap Fund - Direct - Growth
2019-06-05,118632,124.394,Nippon India Large Cap Fund - Direct - Growth
2019-06-06,118632,141.635,Nippon India Large Cap Fund - Direct - Growth
2019-06-08,118632,159.2705,Nippon India Large Cap Fund - Direct - Growth
2019-06-09,118632,148.7928,Nippon India Large Cap Fund - Direct - Growth
2019-06-11,118632,150.8174,Nippon India Large Cap Fund - Direct - Growth
2019-06-12,118632,151.1721,Nippon India Large Cap Fund - Direct - Growth
2019-07-01,118632,112.9863,Nippon India Large Cap Fund - Direct - Growth
2019-07-02,118632,128.8514,Nippon India Large Cap Fund - Direct - Growth
2019-07-03,118632,130.0493,Nippon India Large Cap Fund - Direct - Growth
2019-07-05,118632,125.3723,Nippon India Large Cap Fund - Direct - Growth
2019-07-06,118632,140.8321,Nippon India Large Cap Fund - Direct - Growth
2019-07-08,118632,159.8181,Nippon India Large Cap Fund - Direct - Growth
2019-07-10,118632,140.1168,Nippon India Large Cap Fund - Direct - Growth
2019-07-11,118632,147.794,Nippon India Large Cap Fund - Direct - Growth
2019-08-01,118632,113.0227,Nippon India Large Cap Fund - Direct - Growth
2019-08-02,118632,129.1977,Nippon India Large Cap Fund - Direct - Growth
2019-08-03,118632,128.3973,Nippon India Large Cap Fund - Direct - Growth
2019-08-04,118632,121.059,Nippon India Large Cap Fund - Direct - Growth
2019-08-05,118632,127.4218,Nippon India Large Cap Fund - Direct - Growth
2019-08-07,118632,161.5904,Nippon India Large Cap Fund - Direct - Growth
2019-08-08,118632,161.4553,Nippon India Large Cap Fund - Direct - Growth
2019-08-10,118632,141.712,Nippon India Large Cap Fund - Direct - Growth
2019-08-11,118632,146.2136,Nippon India Large Cap Fund - Direct - Growth
2019-09-01,118632,113.88,Nippon India Large Cap Fund - Direct - Growth
2019-09-04,118632,121.2459,Nippon India Large Cap Fund - Direct - Growth
2019-09-05,118632,128.0642,Nippon India Large Cap Fund - Direct - Growth
2019-09-07,118632,162.7373,Nippon India Large Cap Fund - Direct - Growth
2019-09-08,118632,161.4548,Nippon India Large Cap Fund - Direct - Growth
2019-09-09,118632,146.5381,Nippon India Large Cap Fund - Direct - Growth
2019-09-10,118632,140.8342,Nippon India Large Cap Fund - Direct - Growth
2019-09-12,118632,149.2283,Nippon India Large Cap Fund - Direct - Growth
2019-10-01,118632,114.8389,Nippon India Large Cap Fund - Direct - Growth
2019-10-04,118632,120.9111,Nippon India Large Cap Fund - Direct - Growth
2019-10-05,118632,129.792,Nippon India Large Cap Fund - Direct - Growth
2019-10-06,118632,139.0989,Nippon India Large Cap Fund - Direct - Growth
2019-10-07,118632,157.8625,Nippon India Large Cap Fund - Direct - Growth
2019-10-09,118632,145.7946,Nippon India Large Cap Fund - Direct - Growth
2019-10-10,118632,140.6932,Nippon India Large Cap Fund - Direct - Growth
2019-10-12,118632,149.6829,Nippon India Large Cap Fund - Direct - Growth
2019-11-01,118632,113.8731,Nippon India Large Cap Fund - Direct - Growth
2019-11-02,118632,130.7088,Nippon India Large Cap Fund - Direct - Growth
2019-11-03,118632,129.8203,Nippon India Large Cap Fund - Direct - Growth
2019-11-04,118632,121.9449,Nippon India Large Cap Fund - Direct - Growth
2019-11-06,118632,141.6277,Nippon India Large Cap Fund - Direct - Growth
2019-11-07,118632,157.3638,Nippon India Large Cap Fund - Direct - Growth
2019-11-09,118632,146.1703,Nippon India Large Cap Fund - Direct - Growth
2019-11-10,118632,139.6765,Nippon India Large Cap Fund - Direct - Growth
2019-11-11,118632,149.0143,Nippon India Large Cap Fund - Direct - Growth
2019-11-12,118632,151.9305,Nippon India Large Cap Fund - Direct - Growth
2019-12-02,118632,129.1416,Nippon India Large Cap Fund - Direct - Growth
2019-12-03,118632,130.1399,Nippon India Large Cap Fund - Direct - Growth
2019-12-04,118632,121.5517,Nippon India Large Cap Fund - Direct - Growth
2019-12-06,118632,145.0198,Nippon India Large Cap Fund - Direct - Growth
2019-12-07,118632,157.8824,Nippon India Large Cap Fund - Direct - Growth
2019-12-08,118632,162.4004,Nippon India Large Cap Fund - Direct - Growth
2019-12-09,118632,147.2725,Nippon India Large Cap Fund - Direct - Growth
2019-12-11,118632,148.584,Nippon India Large Cap Fund - Direct - Growth
2019-12-12,118632,151.0556,Nippon India Large Cap Fund - Direct - Growth
2020-01-01,118632,151.995,Nippon India Large Cap Fund - Direct - Growth
2020-01-04,118632,149.7558,Nippon India Large Cap Fund - Direct - Growth
2020-01-05,118632,150.2907,Nippon India Large Cap Fund - Direct - Growth
2020-01-06,118632,144.2918,Nippon India Large Cap Fund - Direct - Growth
2020-01-07,118632,149.3246,Nippon India Large Cap Fund - Direct - Growth
2020-01-09,118632,130.3621,Nippon India Large Cap Fund - Direct - Growth
2020-01-10,118632,123.7659,Nippon India Large Cap Fund - Direct - Growth
2020-01-12,118632,139.9616,Nippon India Large Cap Fund - Direct - Growth
