month,scheme_code,scheme_name,monthly_sip_amt,units_purchased,total_units,total_invested,current_value,xirr_pct,absolute_return_pct,xirr_flag
2019-01-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,26.5132,26.5132,10000.0,10156.04,12.96,1.56,False
2019-02-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,39.5726,66.0859,20000.0,17288.2,12.09,-13.56,False
2019-03-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,50.9814,117.0673,30000.0,23565.28,10.06,-21.45,False
2019-04-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,96.768,213.8352,40000.0,22123.36,8.36,-44.69,False
2019-05-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,60.4412,274.2764,50000.0,46196.64,11.64,-7.61,False
2019-06-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,54.6627,328.9392,60000.0,60606.77,11.06,1.01,False
2019-07-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,29.2672,358.2063,70000.0,123827.41,13.19,76.9,False
2019-08-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,44.4919,402.6982,80000.0,88709.92,9.19,10.89,False
2019-09-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,35.8282,438.5264,90000.0,122329.12,13.98,35.92,False
2019-10-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,34.5185,473.0448,100000.0,142146.96,12.91,42.15,False
2019-11-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,71.398,544.4428,110000.0,77791.24,7.16,-29.28,False
2019-12-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,29.6244,574.0672,120000.0,201583.61,13.82,67.99,False
2020-01-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,25.7546,599.8218,130000.0,232667.75,11.51,78.98,False
2020-02-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,36.4179,636.2397,140000.0,170836.4,9.54,22.03,False
2020-03-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,45.104,681.3437,150000.0,156832.54,9.03,4.56,False
2020-04-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,91.8442,773.1879,160000.0,82487.09,9.89,-48.45,False
2020-05-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,30.4655,803.6534,170000.0,257469.81,12.05,51.45,False
2020-06-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,91.5416,895.195,180000.0,99920.82,10.17,-44.49,False
2020-07-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,33.1005,928.2955,190000.0,272744.45,12.88,43.55,False
2020-08-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,45.2673,973.5628,200000.0,214829.85,15.01,7.41,False
2020-09-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,26.9607,1000.5235,210000.0,367730.79,11.22,75.11,False
2020-10-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,41.7101,1042.2337,220000.0,249128.24,12.27,13.24,False
2020-11-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,36.4126,1078.6463,230000.0,293902.87,10.34,27.78,False
2020-12-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,141.7234,1220.3696,240000.0,82922.59,10.3,-65.45,False
2021-01-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,161.7076,1382.0773,250000.0,86690.23,14.55,-65.32,False
2021-02-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,28.8734,1410.9506,260000.0,484064.28,15.9,86.18,False
2021-03-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,26.2591,1437.2098,270000.0,547004.01,7.99,102.59,False
