date,scheme_code,nav,scheme_name
2019-01-01,119551,53.9879,SBI Bluechip Fund - Direct Plan - Growth
2019-01-02,119551,53.9199,SBI Bluechip Fund - Direct Plan - Growth
2019-01-03,119551,54.3605,SBI Bluechip Fund - Direct Plan - Growth
2019-01-04,119551,55.3758,SBI Bluechip Fund - Direct Plan - Growth
2019-01-07,119551,55.2424,SBI Bluechip Fund - Direct Plan - Growth
2019-01-08,119551,55.1093,SBI Bluechip Fund - Direct Plan - Growth
2019-01-09,119551,56.1757,SBI Bluechip Fund - Direct Plan - Growth
2019-01-10,119551,56.7155,SBI Bluechip Fund - Direct Plan - Growth
2019-01-11,119551,56.4187,SBI Bluechip Fund - Direct Plan - Growth
2019-01-14,119551,56.8086,SBI Bluechip Fund - Direct Plan - Growth
2019-01-15,119551,56.5154,SBI Bluechip Fund - Direct Plan - Growth
2019-01-16,119551,56.2222,SBI Bluechip Fund - Direct Plan - Growth
2019-01-17,119551,56.4079,SBI Bluechip Fund - Direct Plan - Growth
2019-01-18,119551,55.1354,SBI Bluechip Fund - Direct Plan - Growth
2019-01-21,119551,54.0162,SBI Bluechip Fund - Direct Plan - Growth
2019-01-22,119551,53.6733,SBI Bluechip Fund - Direct Plan - Growth
2019-01-23,119551,53.0424,SBI Bluechip Fund - Direct Plan - Growth
2019-01-24,119551,53.2636,SBI Bluechip Fund - Direct Plan - Growth
2019-01-25,119551,52.7045,SBI Bluechip Fund - Direct Plan - Growth
2019-01-28,119551,51.8324,SBI Bluechip Fund - Direct Plan - Growth
2019-01-29,119551,52.7648,SBI Bluechip Fund - Direct Plan - Growth
2019-01-30,119551,52.6429,SBI Bluechip Fund - Direct Plan - Growth
2019-01-31,119551,52.7066,SBI Bluechip Fund - Direct Plan - Growth
2019-02-01,119551,51.8266,SBI Bluechip Fund - Direct Plan - Growth
2019-02-04,119551,51.5088,SBI Bluechip Fund - Direct Plan - Growth
2019-02-05,119551,51.598,SBI Bluechip Fund - Direct Plan - Growth
2019-02-06,119551,50.906,SBI Bluechip Fund - Direct Plan - Growth
2019-02-07,119551,51.1559,SBI Bluechip Fund - Direct Plan - Growth
2019-02-08,119551,50.8076,SBI Bluechip Fund - Direct Plan - Growth
2019-02-11,119551,50.6501,SBI Bluechip Fund - Direct Plan - Growth
2019-02-12,119551,50.3046,SBI Bluechip Fund - Direct Plan - Growth
2019-02-13,119551,51.4429,SBI Bluechip Fund - Direct Plan - Growth
2019-02-14,119551,51.4551,SBI Bluechip Fund - Direct Plan - Growth
2019-02-15,119551,50.8226,SBI Bluechip Fund - Direct Plan - Growth
2019-02-18,119551,51.3446,SBI Bluechip Fund - Direct Plan - Growth
2019-02-19,119551,50.6129,SBI Bluechip Fund - Direct Plan - Growth
2019-02-20,119551,50.76,SBI Bluechip Fund - Direct Plan - Growth
2019-02-21,119551,49.5866,SBI Bluechip Fund - Direct Plan - Growth
2019-02-22,119551,48.8161,SBI Bluechip Fund - Direct Plan - Growth
2019-02-25,119551,48.9509,SBI Bluechip Fund - Direct Plan - Growth
2019-02-26,119551,49.4043,SBI Bluechip Fund - Direct Plan - Growth
2019-02-27,119551,49.5257,SBI Bluechip Fund - Direct Plan - Growth
2019-02-28,119551,49.4768,SBI Bluechip Fund - Direct Plan - Growth
2019-03-01,119551,49.3178,SBI Bluechip Fund - Direct Plan - Growth
2019-03-04,119551,48.4625,SBI Bluechip Fund - Direct Plan - Growth
2019-03-05,119551,48.0633,SBI Bluechip Fund - Direct Plan - Growth
2019-03-06,119551,47.8168,SBI Bluechip Fund - Direct Plan - Growth
2019-03-07,119551,48.4425,SBI Bluechip Fund - Direct Plan - Growth
2019-03-08,119551,48.6616,SBI Bluechip Fund - Direct Plan - Growth
2019-03-11,119551,47.6516,SBI Bluechip Fund - Direct Plan - Growth
2019-03-12,119551,47.856,SBI Bluechip Fund - Direct Plan - Growth
2019-03-13,119551,47.654,SBI Bluechip Fund - Direct Plan - Growth
2019-03-14,119551,47.286,SBI Bluechip Fund - Direct Plan - Growth
2019-03-15,119551,47.652,SBI Bluechip Fund - Direct Plan - Growth
2019-03-18,119551,48.2606,SBI Bluechip Fund - Direct Plan - Growth
2019-03-19,119551,48.8192,SBI Bluechip Fund - Direct Plan - Growth
2019-03-20,119551,48.3471,SBI Bluechip Fund - Direct Plan - Growth
2019-03-21,119551,48.187,SBI Bluechip Fund - Direct Plan - Growth
2019-03-22,119551,48.3978,SBI Bluechip Fund - Direct Plan - Growth
2019-03-25,119551,48.9837,SBI Bluechip Fund - Direct Plan - Growth
2019-03-26,119551,48.7216,SBI Bluechip Fund - Direct Plan - Growth
2019-03-27,119551,48.6325,SBI Bluechip Fund - Direct Plan - Growth
2019-03-28,119551,48.0063,SBI Bluechip Fund - Direct Plan - Growth
2019-03-29,119551,47.3364,SBI Bluechip Fund - Direct Plan - Growth
2019-04-01,119551,47.8169,SBI Bluechip Fund - Direct Plan - Growth
2019-04-02,119551,48.6142,SBI Bluechip Fund - Direct Plan - Growth
2019-04-03,119551,48.5916,SBI Bluechip Fund - Direct Plan - Growth
2019-04-04,119551,49.1962,SBI Bluechip Fund - Direct Plan - Growth
2019-04-05,119551,49.4294,SBI Bluechip Fund - Direct Plan - Growth
2019-04-08,119551,49.0665,SBI Bluechip Fund - Direct Plan - Growth
2019-04-09,119551,49.2989,SBI Bluechip Fund - Direct Plan - Growth
2019-04-10,119551,50.2285,SBI Bluechip Fund - Direct Plan - Growth
2019-04-11,119551,50.227,SBI Bluechip Fund - Direct Plan - Growth
2019-04-12,119551,51.1901,SBI Bluechip Fund - Direct Plan - Growth
2019-04-15,119551,49.6013,SBI Bluechip Fund - Direct Plan - Growth
2019-04-16,119551,50.1103,SBI Bluechip Fund - Direct Plan - Growth
2019-04-17,119551,50.1827,SBI Bluechip Fund - Direct Plan - Growth
2019-04-18,119551,50.0227,SBI Bluechip Fund - Direct Plan - Growth
2019-04-19,119551,50.0978,SBI Bluechip Fund - Direct Plan - Growth
2019-04-22,119551,48.923,SBI Bluechip Fund - Direct Plan - Growth
2019-04-23,119551,48.8136,SBI Bluechip Fund - Direct Plan - Growth
2019-04-24,119551,49.0423,SBI Bluechip Fund - Direct Plan - Growth
2019-04-25,119551,49.9317,SBI Bluechip Fund - Direct Plan - Growth
2019-04-26,119551,49.6411,SBI Bluechip Fund - Direct Plan - Growth
2019-04-29,119551,49.1793,SBI Bluechip Fund - Direct Plan - Growth
2019-04-30,119551,48.9029,SBI Bluechip Fund - Direct Plan - Growth
2019-05-01,119551,49.4597,SBI Bluechip Fund - Direct Plan - Growth
2019-05-02,119551,49.6746,SBI Bluechip Fund - Direct Plan - Growth
2019-05-03,119551,49.3787,SBI Bluechip Fund - Direct Plan - Growth
2019-05-06,119551,49.7026,SBI Bluechip Fund - Direct Plan - Growth
2019-05-07,119551,49.7804,SBI Bluechip Fund - Direct Plan - Growth
2019-05-08,119551,50.3789,SBI Bluechip Fund - Direct Plan - Growth
2019-05-09,119551,49.9746,SBI Bluechip Fund - Direct Plan - Growth
2019-05-10,119551,49.7981,SBI Bluechip Fund - Direct Plan - Growth
2019-05-13,119551,49.5837,SBI Bluechip Fund - Direct Plan - Growth
2019-05-14,119551,48.7327,SBI Bluechip Fund - Direct Plan - Growth
2019-05-15,119551,48.9254,SBI Bluechip Fund - Direct Plan - Growth
2019-05-16,119551,49.0982,SBI Bluechip Fund - Direct Plan - Growth
2019-05-17,119551,49.1209,SBI Bluechip Fund - Direct Plan - Growth
2019-05-20,119551,49.0023,SBI Bluechip Fund - Direct Plan - Growth
2019-05-21,119551,48.1896,SBI Bluechip Fund - Direct Plan - Growth
2019-05-22,119551,47.9656,SBI Bluechip Fund - Direct Plan - Growth
2019-05-23,119551,47.7875,SBI Bluechip Fund - Direct Plan - Growth
2019-05-24,119551,47.3465,SBI Bluechip Fund - Direct Plan - Growth
2019-05-27,119551,47.2738,SBI Bluechip Fund - Direct Plan - Growth
2019-05-28,119551,47.5219,SBI Bluechip Fund - Direct Plan - Growth
2019-05-29,119551,48.6165,SBI Bluechip Fund - Direct Plan - Growth
2019-05-30,119551,48.7378,SBI Bluechip Fund - Direct Plan - Growth
2019-05-31,119551,48.9079,SBI Bluechip Fund - Direct Plan - Growth
2019-06-03,119551,48.8838,SBI Bluechip Fund - Direct Plan - Growth
2019-06-04,119551,47.7778,SBI Bluechip Fund - Direct Plan - Growth
2019-06-05,119551,47.7817,SBI Bluechip Fund - Direct Plan - Growth
2019-06-06,119551,47.8353,SBI Bluechip Fund - Direct Plan - Growth
2019-06-07,119551,49.2684,SBI Bluechip Fund - Direct Plan - Growth
2019-06-10,119551,49.1744,SBI Bluechip Fund - Direct Plan - Growth
2019-06-11,119551,49.372,SBI Bluechip Fund - Direct Plan - Growth
2019-06-12,119551,49.3712,SBI Bluechip Fund - Direct Plan - Growth
2019-06-13,119551,48.6986,SBI Bluechip Fund - Direct Plan - Growth
2019-06-14,119551,49.3859,SBI Bluechip Fund - Direct Plan - Growth
2019-06-17,119551,49.8513,SBI Bluechip Fund - Direct Plan - Growth
2019-06-18,119551,50.3444,SBI Bluechip Fund - Direct Plan - Growth
2019-06-19,119551,49.8151,SBI Bluechip Fund - Direct Plan - Growth
2019-06-20,119551,50.6736,SBI Bluechip Fund - Direct Plan - Growth
2019-06-21,119551,49.8414,SBI Bluechip Fund - Direct Plan - Growth
2019-06-24,119551,50.2123,SBI Bluechip Fund - Direct Plan - Growth
2019-06-25,119551,51.5522,SBI Bluechip Fund - Direct Plan - Growth
2019-06-26,119551,50.96,SBI Bluechip Fund - Direct Plan - Growth
2019-06-27,119551,50.6341,SBI Bluechip Fund - Direct Plan - Growth
2019-06-28,119551,50.7149,SBI Bluechip Fund - Direct Plan - Growth
2019-07-01,119551,50.4288,SBI Bluechip Fund - Direct Plan - Growth
2019-07-02,119551,49.5106,SBI Bluechip Fund - Direct Plan - Growth
2019-07-03,119551,49.5711,SBI Bluechip Fund - Direct Plan - Growth
2019-07-04,119551,48.959,SBI Bluechip Fund - Direct Plan - Growth
2019-07-05,119551,49.2568,SBI Bluechip Fund - Direct Plan - Growth
2019-07-08,119551,48.733,SBI Bluechip Fund - Direct Plan - Growth
2019-07-09,119551,49.6589,SBI Bluechip Fund - Direct Plan - Growth
2019-07-10,119551,49.212,SBI Bluechip Fund - Direct Plan - Growth
2019-07-11,119551,49.0415,SBI Bluechip Fund - Direct Plan - Growth
2019-07-12,119551,49.5399,SBI Bluechip Fund - Direct Plan - Growth
2019-07-15,119551,48.828,SBI Bluechip Fund - Direct Plan - Growth
2019-07-16,119551,48.9808,SBI Bluechip Fund - Direct Plan - Growth
2019-07-17,119551,49.7687,SBI Bluechip Fund - Direct Plan - Growth
2019-07-18,119551,48.8286,SBI Bluechip Fund - Direct Plan - Growth
2019-07-19,119551,48.9563,SBI Bluechip Fund - Direct Plan - Growth
2019-07-22,119551,49.1286,SBI Bluechip Fund - Direct Plan - Growth
2019-07-23,119551,49.6092,SBI Bluechip Fund - Direct Plan - Growth
2019-07-24,119551,48.8927,SBI Bluechip Fund - Direct Plan - Growth
2019-07-25,119551,48.1375,SBI Bluechip Fund - Direct Plan - Growth
2019-07-26,119551,48.4583,SBI Bluechip Fund - Direct Plan - Growth
2019-07-29,119551,48.6504,SBI Bluechip Fund - Direct Plan - Growth
2019-07-30,119551,48.8161,SBI Bluechip Fund - Direct Plan - Growth
2019-07-31,119551,49.0386,SBI Bluechip Fund - Direct Plan - Growth
2019-08-01,119551,48.658,SBI Bluechip Fund - Direct Plan - Growth
2019-08-02,119551,48.8131,SBI Bluechip Fund - Direct Plan - Growth
2019-08-05,119551,49.0043,SBI Bluechip Fund - Direct Plan - Growth
2019-08-06,119551,48.6038,SBI Bluechip Fund - Direct Plan - Growth
